subject,type,course,category,year,university,student_1,professor_1,professor_2,professor_3,moshaver_1,moshaver_2,moshaver_3
شناسایی بیوانفورماتیکی برخی از ژن های احتمالی پاسخ دهنده به کلرید سدیم و جداسازی یکی از آنها در سیب (Malus domestica),پیشنهاده,کارشناسی ارشد,N/A,1393,دانشگاه تبریز، دانشکده علوم کشاورزی,پویا غربی,ناصر مهنا,نادر فرساداختر,N/A,مجید نوروزی,N/A,N/A
بهبودفرایند کاهش ابعاد داده های بیوانفورماتیکی با بکارگیری روش های ترکیبی,پیشنهاده,کارشناسی ارشد,N/A,1393,دانشگاه یزد، دانشکده مهندسی برق و الکترونیک,سمیرا صابریان بروجنی,محمدتقی صادقی,N/A,N/A,وحید ابوطالبی,N/A,N/A
تایید آزمایشگاهی یک microRNA نوین در ناحیه حذف ژنومی شایع (3p26.3) در سرطان ریه,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1393,دانشگاه تربیت مدرس، دانشکده علوم زیستی,عبدالله مدلج,سید‌جواد مولی,بهرام محمدسلطانی,N/A,محمود تولایی,N/A,N/A
طراحی پپتید های مناسب برای اتصال به نانوتیوب ها با استفاده از روش های شبیه‌سازی دینامیک مولکولی,پارسای داخل کشور,کارشناسی ارشد,بیوفیزیک,1393,دانشگاه تبریز، دانشکده علوم پایه,علیرضا منصوری حسن‌آبادی,ابوالفضل برزگر,N/A,N/A,جعفر عظمت,N/A,N/A
بررسی جریان انرژی از ریشه به اندام‌های هوایی در گیاه مدل آرابیدوپسیس تالیانا,پارسای داخل کشور,کارشناسی ارشد,کشاورزی، عمومی و میان رشته ای,1393,دانشگاه پیام نور استان البرز، پژوهشکده بیوتکنولوژی,مهری رستمی نژاد,ناصر فرخی,N/A,N/A,حسین عسگری,محمدعلی ابراهیمی,N/A
بررسی مقایسه‌ای خانواده ژنی آکواپورین‌ها با استفاده از روش‌های بیوانفورماتیکی و محاسباتی,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1393,دانشگاه گیلان، دانشکده علوم پایه,مهدی مقدس طاهرآباد,حمیدرضا وزیری,مهری باقریان,N/A,N/A,N/A,N/A
طراحی سیستم مبتنی بر شبکه های عصبی برای پیش بینی آلودگی های پاندمیک و غیرپاندمیک ویروس آنفلونزای آ,پارسای داخل کشور,کارشناسی ارشد,فناوری اطلاعات,1393,دانشگاه قم، دانشکده فنی و مهندسی,زهرا گلشن,منصور ابراهیمی,N/A,N/A,N/A,N/A,N/A
تعیین توالی و آنالیزهای بیوانفورماتیکی بخشی از اگزون و اینترون شماره هفت ژن بتاکازئین در شترهای تک کوهانه و دوکوهانه ایران,پارسای داخل کشور,کارشناسی ارشد,کشاورزی، علوم دامی و لبنیات,1393,دانشگاه فردوسی مشهد، دانشکده کشاورزی و منابع طبیعی,مجتبی گلقندشتی,مجتبی طهمورث‌پور,محمدهادی سخاوتی,N/A,محمدرضا نصیری,N/A,N/A
تشخیص برهم‌کنش‌های مثبت کاذب در شبکه‌های برهم‌کنش پروتئین-پروتئین با استفاده از روش‌های محاسباتی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌کاربردهای میان رشته ای,1393,دانشگاه اراک، دانشکده فنی مهندسی,مسعود عزیزی,رضا رافع,N/A,N/A,جواد ظهیری,N/A,N/A
شناسایی و دسته‌بندی ژن‌های موثر در سرطان (سرطان ریه) با استفاده از داده‌های ریزآرایه,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌مهندسی نرم افزار,1393,دانشگاه صنعتی شیراز، دانشکده مهندسی کامپیوتر و فناوری اطلاعات,محمد صالحی,مرضیه احمدزاده,N/A,N/A,سیدرئوف خیامی,مجید فردایی,N/A
بررسی امکان حضور و تایید مولکولی میکرو RNAهای جدید از ناحیه ژنومی تکثیرشده 3q26.33,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1393,دانشگاه تربیت مدرس، دانشکده علوم زیستی,علی‌جایسون صالح,سیدجواد مولی,بهرام محمدسلطانی,N/A,محمود تولایی,N/A,N/A
پیش‌بینی و ارزیابی ژن‌های هدف مایکرو آر اِن اِی (miRNA) بر اساس روش‌های بیوانفورماتیکی و به کمک ژنومیکس مقایسه‌ای در گروهی از پستانداران,پارسای داخل کشور,دکتری تخصصی (PhD),کشاورزی، علوم دامی و لبنیات,1393,دانشگاه فردوسی مشهد، دانشکده کشاورزی و منابع طبیعی,مرتضی مهدوی,محمدرضا نصیری,مجتبی طهمورث‌پور,N/A,N/A,N/A,N/A
تعیین توالی و آنالیزهای بیوانفورماتیکی بخشی از ناحیه کد کننده و غیر کد کننده ژن آلفا کازئین1 S در دو گونه شترهای تک کوهان و دو کوهان ایران,پارسای داخل کشور,کارشناسی ارشد,کشاورزی، علوم دامی و لبنیات,1393,دانشگاه فردوسی مشهد، دانشکده کشاورزی و منابع طبیعی,زهرا عابدینی,محمدمهدی شریعتی,مجتبی طهمورث‌پور,N/A,محمدرضا نصیری,N/A,N/A
ساده سازی شبکه های تنظیمی ژنی,پارسای داخل کشور,کارشناسی ارشد,N/A,1393,دانشگاه تهران، پردیس دانشکده‌های فنی - دانشکده علوم مهندسی,مهدی رحیمی,علی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ معینی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,علی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ مسعودی نژاد‌‌‌‌‌‌‌‌‌,N/A,N/A,N/A,N/A
پیش‌بینی پیوند در شبکه های اجتماعی با روش شبکه‌های پیچیده,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، سیستمهای اطلاعاتی,1393,دانشگاه قم,لاله مداح‌علی,محمدحسین یکتایی,N/A,N/A,سیدحسن هانی طبایی زواره,N/A,N/A
انطباق چند توالی بیولوژیکی با استفاده از الگوریتم جستجوی ممنوعه,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، سیستمهای اطلاعاتی,1393,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده کامپیوتر و فناوری اطلاعات,محمدحسین نظرزاده,مهدی وثبقی,N/A,N/A,N/A,N/A,N/A
پیشگویی برهم‌کنش پروتئین و RNA با استفاده از روش‌های یادگیری ماشین بر اساس اطلاعات موجود در توالی پروتئین و RNA,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌مهندسی نرم افزار,1393,دانشگاه اراک، دانشکده فنی مهندسی,محمد اکبری‌پور اله‌آباد,رضا رافع,N/A,N/A,جواد ظهیری,N/A,N/A
بررسی علیت گرانگر در بیولوژی,پارسای داخل کشور,کارشناسی ارشد,مخابرات، ارتباطات راه دور,1393,دانشگاه فردوسی مشهد، دانشکده مهندسی,سمیه یزدانی,قوشه عابدهدتنی,N/A,N/A,N/A,N/A,N/A
طبقه‌بندی سرطان براساس فناوری ریزآرایه با استفاده از انتخاب ژن,پارسای داخل کشور,کارشناسی ارشد,مخابرات، ارتباطات راه دور,1393,دانشگاه ارومیه، دانشکده فنی,معصومه یوسفی,مهدی چهل‌امیرانی,N/A,N/A,N/A,N/A,N/A
پیش‌بینی فاکتورهای رونویسی جدید مهم در تمایز سلول‌های iPS از سلول‌های اندودرم قطعی به سلول‌های کبدی,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی سلولی,1393,پژوهشگاه ملی مهندسی ژنتیک و زیست فناوری، پژوهشکده زیست‌فناوری پزشکی,عبدالشکور محمدنیا,فرزانه صابونی,حسین فلاحی,N/A,محمد معصومی,N/A,N/A
شناسایی، جداسازی و تعیین ویژگی برخی از ژن‌های ممانعت‌کننده احتمالی گلدهی از سیب (Malus domestica) و بررسی بیان آن‌ها به روش RT-PCR و Real -Time PCR,پارسای داخل کشور,دکتری تخصصی (PhD),باغبانی,1393,دانشگاه تبریز، دانشکده کشاورزی,نعیمه مقصودی باویل علیائی,ناصر مهنا,بهرام باغبان کهنه‌روز,N/A,نعمت سخندان بشیر,N/A,N/A
آنالیز توالی‌های بیولوژیکی با استفاده از نقشه‌های خودسازمانده,پارسای داخل کشور,کارشناسی ارشد,N/A,1393,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده کامپیوتر و فناوری اطلاعات,فاطمه خوشخو,مهدی وثیقی,N/A,N/A,N/A,N/A,N/A
بررسی اثر ایجاد پیوند دی سولفیدی در ساختار فتوپروتئین نمیوپسین,پارسای داخل کشور,کارشناسی ارشد,بیوفیزیک,1393,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده زیست شناسی,مینا رونقی,لیلا حسنی,وهب جعفریان,N/A,N/A,N/A,N/A
کاربرد نقشه‌های خودسازمان‌ده در آنالیز و طبقه‌بندی داده‌های میکروآرایه سرطان سینه,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، هوش مصنوعی,1393,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده کامپیوتر و فناوری اطلاعات,رقیه ابوالقاسمی,مهدی وثیقی,بهرام صادقی بی‌غم,N/A,N/A,N/A,N/A
بررسی مولکولی ژن‌های دخیل در بیماران مبتلا به سندروم گلانزمن,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1393,دانشگاه گیلان، دانشکده علوم پایه,فاطمه ظفرقندی مطلق,زیور صالحی,سیروس زینلی,N/A,محمدصادق فلاح,N/A,N/A
بررسی پلی‌مورفیسم ژن‌گیرنده شبه‌تول 4 (TLR4) درسلول‌های خونی سگهای نژاد تریر مبتلا به درماتیت آتوپیک,پارسای داخل کشور,دکتری حرفه‌ای (عمومی),دامپزشکی,1393,دانشگاه فردوسی مشهد، دانشکده دامپزشکی,جابر خرمی‌مقدم,جلیل مهرزاد,N/A,N/A,جواد خوش‌نگاه,N/A,N/A
کلون کردن DNA کدکننده اپی‌توپ‌های خطی پیش‌بینی شده آنتی ژن EgTrp اکینوکوکوس گرانولوزوس برای لنفوسیت‌های T در وکتور pEGFP-N1 و بررسی بیان آن در رده‌ی سلولی CHO,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1393,دانشگاه خوارزمی، دانشکده علوم زیستی,مژگان احمدزاده,سیدعبدالحمید انگجی,مجید اسمعیلی‌زاده,N/A,محمد طهماسب,N/A,N/A
بهبود تشخیص نفوذ در سیستم‌های اطلاعاتی ابری با استفاده از تکنیک‌های داده کاوی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌مهندسی نرم افزار,1393,مرکز پیام نور تهران، دانشکده کامپیوتر و فناوری اطلاعات,فاطمه اسحقی,مهدی خلیلی,N/A,N/A,مجید انجیدنی,N/A,N/A
آنالیز بیوانفورماتیکی ژن IGF-1 در چندین گونه‌ی مختلف,پارسای داخل کشور,کارشناسی ارشد,N/A,1393,دانشگاه یاسوج، دانشکده کشاورزی و منابع طبیعی,سعیده سجادی جرجانی,محمدرضا بحرینی بهزادی,N/A,N/A,N/A,N/A,N/A
ساخت و ارزیابی ایمونولوژیکی پروتئین کایمریک متشکل از نواحی آنتی‌ژنیک گاما همولیزین (hlg) شاخص سطحی تنظیم آهنB (isdB) و فاکتور کلامپینگ B (clfA) استافیلوکوکوس اورئوس در مدل موشی,پارسای داخل کشور,دکتری حرفه‌ای (عمومی),میکروبشناسی,1393,دانشگاه تربیت مدرس، دانشکده علوم پزشکی,سمیه دلفانی,عباسعلی ایمانی فولادی,اشرف محبتی مبارز,N/A,جعفر امانی,محمد ایمان عینی,N/A
مهندسی تالن‌ها به منظور تخریب اختصاصی ژن میوستاتین نشخوارکنندگان و اعتبارسنجی آن‌ها در سلول‌های بنیادی جنینی موشی,پارسای داخل کشور,دکتری تخصصی (PhD),کشاورزی، علوم دامی و لبنیات,1393,دانشگاه فردوسی مشهد، دانشکده کشاورزی و منابع طبیعی,امیر طاهری قهفرخی,مجتبی طهمورث‌پور,N/A,N/A,حسام دهقانی,محمدرضا نصیری,N/A
کاوش موتیف‌های سه بعدی در ساختمان پروتئین‌ها,پارسای داخل کشور,دکتری تخصصی (PhD),N/A,1393,دانشگاه تهران، مرکز بین المللی تحقیقات بیوشیمی-بیوفیزیک,امیر رحیمی,آرمین‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ مددکار سبحانی‌‌‌‌‌‌‌,بهرام‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ گلیائی‌‌‌‌‌‌‌‌‌‌‌‌‌‌,N/A,روزبه‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ تویسرکانی‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A
مقایسه تغییرات پروفایل جامع بیانی microRNAها در نمونه‌های توموری و غیرتوموری SCC مری بیماران استان گلستان,پارسای داخل کشور,دکتری تخصصی (PhD),ژنتیک و وراثت,1393,پژوهشگاه ملی مهندسی ژنتیک و زیست فناوری,محمد شفیعی,سیداحمد آل‌یاسین,سیدجواد مولی,N/A,شهریار سمنانی,محمد واسعی,N/A
طراحی آزمایش الایزا با استفاده از ترکیبی از آنتی‌ژن‌های نوترکیب TgGRA7 و TgSUB1 جهت تشخیص توکسوپلاسموز در گاومیش رودخانه‌ای,پارسای داخل کشور,دکتری تخصصی (PhD),دامپزشکی,1393,دانشگاه شهید چمران اهواز، دانشکده دامپزشکی,احمد روحی‌زاده,محمد راضی جلالی,عطااله غدیری,N/A,مسعود قربانپور,محمدحسین راضی جلالی,N/A
شناسایی پروتئین FHA-like در Acinetobacter baumannii، نقش آن در بیماریزایی و ایمنی زایی,پارسای داخل کشور,دکتری تخصصی (PhD),میکروبشناسی,1393,دانشگاه شاهد، دانشکده علوم پایه,شکیبا درویش علیپور آستانه,سیدلطیف موسوی گرگری,ایرج رسولی,N/A,N/A,N/A,N/A
بررسی میزان بیان miR-27a و miR-214 در سلول‌های خون محیطی بیماران مولتیپل اسکلروزیس عودکننده-بهبودپذیر (RR-MS) جمعیت اصفهان در دو مرحله‌ی عود و بهبودی در مقایسه با افراد سالم,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی سلولی,1393,دانشگاه رازی، دانشکده علوم پایه,مریم احمدیان علمی,علی بیدمشکی‌پور,کامران قائدی,N/A,محمدحسین نصراصفهانی,N/A,N/A
بررسی اثر گالانتامین بروی بیان ژن های BIN1وMS4A4E در رت های مدل آلزایمر,پیشنهاده,کارشناسی ارشد,N/A,1393,دانشگاه آزاد اسلامی ‌واحد اردبیل، دانشکده علوم پایه,آیدا ایمانی,محمد ضعیفی‌زاده,N/A,N/A,N/A,N/A,N/A
ارزیابی پاسخ های ایمنی همورال و سلولی برعلیه واکسن یونیورسال کاندید ویروس پاپیلومای تیپ های 6، 11، 16، 18، 31 و 45 در مدل موش آزمایشگاهی,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1393,دانشگاه آزاد اسلامی واحد علوم دارویی، دانشکده علوم پایه,مهسا رضایی,مهدی مهدوی,N/A,N/A,مجید تبیانیان,N/A,N/A
ردیابی ژن Filia و پروتئین آن در تخمدان و تخمک گاو,پارسای داخل کشور,دکتری تخصصی (PhD),کشاورزی، علوم دامی و لبنیات,1393,دانشگاه صنعتی اصفهان، دانشکده مهندسی کشاورزی,آزاده زحمت‌کش,سعید انصاری مهیاری,مرتضی دلیری جوپاری,N/A,N/A,N/A,N/A
غربالگری مجازی مطالعه اندرکنش پروتئین Lsr R با کربوهیدرات AI-2 در باکتری اشرشیا کولی با هدف مهار Quorum sensing,پارسای داخل کشور,کارشناسی ارشد,N/A,1394,دانشگاه آزاد اسلامی واحد علوم دارویی، دانشکده علوم و فناوری‌های نوین,لیلا حاجی‌بکی,علی‌اصغر کارخانه,N/A,N/A,ابراهیم ترکتاز,N/A,N/A
بررسی بیان ژن اینترلوکین-10 در گاوهای هلشتاین سالم و مبتلا به ورم پستان بالینی و آنالیز بیوانفورماتیک نیمرخ نوکلئوزومی آن,پارسای داخل کشور,کارشناسی ارشد,کشاورزی، علوم دامی و لبنیات,1394,دانشگاه یاسوج، دانشکده کشاورزی,بهاره ورزندیان,مصطفی قادری زفره‌ای,سعید حسین‌زاده,N/A,مصطفی محقق دولت‌آبادی,N/A,N/A
بررسی الگوریتم‌های MSA در بیوانفورماتیک و بهبود آنها با استفاده از تکنیک‌های مختلف موازی‌سازی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌کاربردهای میان رشته ای,1394,دانشگاه یزد، پردیس علوم - دانشکده علوم ریاضی,سمیرا رحیمی,سیدابوالفضل شاهزاده فاضلی,N/A,N/A,محمدرضا هوشمند اصل,N/A,N/A
بهبود فرآیند کاهش ابعاد داده‌های بیوانفورماتیکی با به‌کارگیری روش‌های ترکیبی,پارسای داخل کشور,کارشناسی ارشد,N/A,1394,دانشگاه یزد,سمیرا صابریان بروجنی,محمدتقی صادقی,N/A,N/A,وحید ابوطالبی,N/A,N/A
بررسی کاهش دامنه داده‌های بیوانفورماتیک با ترکیب کلونی زنبور عسل مصنوعی و روش دسته بندی KNN,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌کاربردهای میان رشته ای,1394,دانشگاه سیستان و بلوچستان، دانشکده ریاضی,زهرا وکیلی,امین راحتی,N/A,N/A,عفت دهقانیان,N/A,N/A
توالی‌یابی ژنوم با استفاده از روش‌های جدید ساخت گراف رشته,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌کاربردهای میان رشته ای,1394,دانشگاه مازندران، دانشکده علوم ریاضی,امید رنجبر,رضا ندیمی,N/A,N/A,روح‌اله یوسف‌پور,N/A,N/A
ترسیم و تحلیل ساختار شبکه همکاری‌های علمی علوم پایه در نمایه استنادی علوم در بازه زمانی 1996 تا 2013میلادی,پارسای داخل کشور,کارشناسی ارشد,علوم اطلاعات ، کتابداری و دانش شناسی,1394,دانشگاه علامه طباطبائی، دانشکده روانشناسی و علوم تربیتی,اصغر ستارزاده,گلنسا گلینی مقدم,N/A,N/A,عصمت مومنی,N/A,N/A
جداسازی و همسانه‌سازی ژن اندو 1و 4 بتا زایلاناز A از باکتری Nesterenkonia sp.strain F در باکتری E.coli,پارسای داخل کشور,کارشناسی ارشد,زیست فناوری و میکروبشناسی کاربردی,1394,دانشگاه شهید چمران اهواز، دانشکده علوم,هاجر محمدی,حمید گله‌داری,محمد شفیعی,N/A,سعید رضا خاتمی,N/A,N/A
مطالعه بیوانفورتیکی ژن‌های هم‌بیان با آنزیم پکتات‌لیاز در گیاه مدل دولپه‌ای (Arabidopsis thaliana),پارسای داخل کشور,کارشناسی ارشد,زراعت,1394,دانشگاه صنعتی شاهرود، دانشکده مهندسی کشاورزی,سیده‌صدیقه قریشی امیری,ناصر فرخی,N/A,N/A,N/A,N/A,N/A
ارزیابی بیان miRNA های موثر بر تکثیر ویروس هپاتیت B در بیماران مبتلا به هپاتوسلولار کارسینوما,پیشنهاده,کارشناسی ارشد,N/A,1394,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی اراک، دانشکده پزشکی اراک,نیلوفر مرادی,مهدیه موندنی‌زاده,مهدی پریان نوغانی,N/A,بهزاد خوانساری‌نژاد,N/A,N/A
گراف دی‌بروین، کاربردها و روش‌ها در بیوانفورماتیک,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی ریاضی و کامپیوتری,1394,دانشگاه مازندران، دانشکده علوم ریاضی,حامد یزدان نجات,رضا ندیمی,N/A,N/A,افشین فیاض موقر,N/A,N/A
بررسی اختلال در نیام‌بندی سویا با رویکرد پروتئومیک و بیوانفورماتیک,پیشنهاده,دکتری تخصصی (PhD),N/A,1394,دانشگاه تبریز، دانشکده علوم کشاورزی,کمال پیغام‌زاده,محمود تورچی,N/A,N/A,زهرا سادات شُبّر,N/A,N/A
توالی‌یابی ژنوم با استفاده از روش‌های جدید ساخت گراف رشته,پیشنهاده,کارشناسی ارشد,N/A,1394,دانشگاه مازندران، دانشکده علوم ریاضی,امید رنجبر,رضا ندیمی,N/A,N/A,N/A,N/A,N/A
جداسازی و همسانه سازی ژن لیمونن سینتاز از رازیانه,پارسای داخل کشور,کارشناسی ارشد,N/A,1394,دانشگاه تهران، پردیس ابوریحان - گروه علوم زراعی و اصلاح نباتات,معصومه دعاگو,حسین‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ رامشینی‌‌‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A,سیداحمد‌‌‌‌‌‌‌‌‌‌‌‌‌ سادات‌نوری‌‌‌‌‌‌‌‌‌‌,علی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ ایزدی دربندی‌‌‌‌‌‌‌‌,N/A
مهندسی سیکلوتیدهای طبیعی با روشهای بیوانفورماتیک به منظور استفاده در طراحی دارو,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1394,دانشگاه الزهرا (س)، دانشکده علوم زیستی,هدی علی‌بیگلو,محبوبه ضرابی,N/A,N/A,پریناز قدم,N/A,N/A
پیشگویی سومولاسیون پروتئین با استفاده از جنگل تصادفی,پیشنهاده,کارشناسی ارشد,N/A,1394,دانشگاه تربیت مدرس، دانشکده علوم زیستی,شهین رمضی,جواد ظهیری,N/A,N/A,سیدشهریار عرب,N/A,N/A
تاٌثیر عوامل شیمیایی جهش زابرالگوی هم بیانی ژن های موثر در گلیوبلاستوما,پارسای داخل کشور,کارشناسی ارشد,N/A,1394,دانشگاه آزاد اسلامی واحد علوم دارویی، دانشکده علوم و فناوری‌های نوین,غزاله وکیل,کاوه کاوسی,N/A,N/A,N/A,N/A,N/A
آنالیز بیوانفورماتیکی نواحی موثر در ایمنی زایی پروتئینهای Oprl، OprF و PcrV در Pseudomonas aeruginosa,پارسای داخل کشور,کارشناسی ارشد,N/A,1394,دانشگاه شاهد,احسان کاظمی مقدم,پرویز اولیا,N/A,N/A,N/A,N/A,N/A
الگوریتم ها و کاربردهای گراف دی بروین در بیو انفورماتیک,پیشنهاده,کارشناسی ارشد,N/A,1394,دانشگاه مازندران، دانشکده علوم ریاضی,حامد یزدان نجات,رضا ندیمی,N/A,N/A,افشین فیاض موقر,N/A,N/A
کشف miRNA‌های احتمالی واقع در ناحیه کروموزومی 7p تکثیر شده در سرطان ریه با استفاده از بیوانفورماتیک و روش‌های تجربی,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1394,دانشگاه تربیت مدرس، دانشکده علوم زیستی,محمدحسین‌علی حب‌الله,بهرام محمدسلطانی,N/A,N/A,سیدجواد مولی,N/A,N/A
ارزیابی ایمنی زایی پروتئین نوترکیب Omp28 و Omp31 بروسلا بیان شده در سیستم پروکاریوت در گوسفند و بررسی بیوانفورماتیک این پروتئین ها,پارسای داخل کشور,کارشناسی ارشد,N/A,1394,دانشگاه آزاد اسلامی واحد دامغان، دانشکده علوم پایه,بهناز راعی,سید داود حسینی,N/A,N/A,علی‌اصغر فرازی,علی محمد بهروزیخواه,N/A
مطالعات بیوانفورماتیک جهت شناسایی mlncRNA ها و بررسی بیان برخی از آن ها در پاسخ به تیمارهای تنش زا در گیاه شیرین بیان چینی (Glycyrrhiza uralensis),پیشنهاده,کارشناسی ارشد,N/A,1394,دانشگاه کردستان، دانشکده کشاورزی و منابع طبیعی,آرش رستمی آذر,اسعد معروفی,N/A,N/A,N/A,N/A,N/A
پیش‌بینی ساختار سوم پروتئین با استفاده از مدل پنهان مارکوف,پیشنهاده,دکتری تخصصی (PhD),N/A,1394,دانشگاه یزد، دانشکده مهندسی برق و الکترونیک,فرزاد پیروی,علی‌محمد لطیف,N/A,N/A,سیدمحمد مشتاقیون,N/A,N/A
شناسایی بیوانفورماتیکی برخی از ژن‌های احتمالی پاسخ دهنده به کلرید سدیم و جداسازی یکی از آنها در سیب (Malus domestica),پارسای داخل کشور,کارشناسی ارشد,کشاورزی، عمومی و میان رشته ای,1394,دانشگاه تبریز، دانشکده کشاورزی,پویا غربی,ناصر مهنا,نادر فرساداختر,N/A,مجید نوروزی,N/A,N/A
بررسی واریانت‌های مرتبط با Longevity در سالمندترین فرد ایرانی توسط روش Whole Exome Sequencing,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1394,دانشگاه علوم بهزیستی و توانبخشی,تارا اخترخاوری,کیمیا کهریزی,N/A,N/A,حسین نجم‌آبادی,N/A,N/A
انطباق ساختار پروتئین‌ها با استفاده از یک رویکرد تکاملی و یک روش مدل‌سازی متن,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، هوش مصنوعی,1394,دانشگاه تبریز، دانشکده علوم ریاضی,ثریا میرزائی,جعفر رزم‌آرا,N/A,N/A,شهریار لطفی,N/A,N/A
بررسی نقش موقعیت باقی‌مانده‌ی گلوتامیک اسید 9 در ساختار و عملکرد پروتئین شیرین‌کننده‌ی برازئین,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1394,دانشگاه زنجان، دانشکده علوم,سیده‌شهربانو جعفری,وهب جعغریان,خسرو خلیفه,N/A,عمران حشمتی,N/A,N/A
جداسازی و همسانه‌سازی ژن عامل رونویسی محتمل R2R3-MYB از گیاه خشخاش (Papaver somniferum L.),پارسای داخل کشور,کارشناسی ارشد,کشاورزی، عمومی و میان رشته ای,1394,دانشگاه تربیت مدرس، دانشکده کشاورزی,شادی نایبی,سجاد رشیدی منفرد,N/A,N/A,قاسم کریم‌زاده,N/A,N/A
بررسی بیوانفورماتیکی امکان حضور و تائید آزمایشگاهی miRNA های جدید واقع در ناحیه ژنومی افزایش یافته‌ی 3q26.33 شایع در سرطان ریه,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1394,دانشگاه تربیت مدرس، دانشکده علوم زیستی,امیر باقری,محمود تولایی,سیدجواد مولی,N/A,مصطفی قانعی,N/A,N/A
بررسی بیماریزایی یک جهش جدید در بیمار مبتلا به شربت افرا به کمک غربالگری جمعیت سالم و آنالیزهای بیوانفورماتیکی,پارسای داخل کشور,کارشناسی ارشد,بیوشیمی و زیست شناسی ملکولی,1394,دانشگاه زنجان، دانشکده علوم,عصمت صفدریان,وهب جعفریان,حمید گله‌داری,N/A,غلام‌رضا شریعتی,محمد شفیعی,N/A
بررسی بیوانفورماتیکی اثر انواع SNPهای ژن M1S1 در سطح ساختار پروتئین,پارسای داخل کشور,کارشناسی ارشد,بیوشیمی و زیست شناسی ملکولی,1394,دانشگاه زنجان، دانشکده علوم,رقیه محمدی,عمران حشمتی,N/A,N/A,خسرو خلیفه,N/A,N/A
بررسی اتصال مولکولی در طراحی دارو با استفاده از الگوریتم ازدحام ذرات,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌کاربردهای میان رشته ای,1394,دانشگاه سیستان و بلوچستان، دانشکده علوم,ساجده ماه‌گلی,امین راحتی,عفت دهقانیان,N/A,N/A,N/A,N/A
تحلیل تشابه توالی‌های بیولوژیکی با استفاده از نظریه‌ی مجموعه‌های فازی,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1394,دانشگاه تحصیلات تکمیلی علوم پایه زنجان، دانشکده علوم زیستی,لیدا هوشیار,علیرضا خواستان,N/A,N/A,شکوفه زارعیان,N/A,N/A
طراحی، ساخت و تعیین ویژگی یک آنزیم تری‌گلیسرید لیپاز باسیلوس ترموکاتنولاتوس جدید باکتریایی از طریق جهش زایی هدفمند,پارسای داخل کشور,کارشناسی ارشد,بیوشیمی و زیست شناسی ملکولی,1394,دانشگاه پیام نور استان تهران، مرکز پیام نور تهران شرق,وحید محمودخانی,رضا حاجی‌حسینی,N/A,N/A,N/A,N/A,N/A
استفاده از یک روش داده کاوی بر روی ساختار پروتئین,پارسای داخل کشور,کارشناسی ارشد,N/A,1394,موسسه آموزش عالی جاوید - جیرفت، گروه کامپیوتر,سمیه یزدانی,وحید ستاری,N/A,N/A,بهنام قوامی,کیانا شاهزمانی,N/A
